Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-77552.7954102,75922447.204589844,8,-49.8813401355
-77407.8369141,75922592.163085938,8,-49.8975905798
-77262.878418,75922737.121582031,8,-49.9138714844
-77117.9199219,75922882.080078125,8,-49.9301829637
-76972.9614258,75923027.038574219,8,-49.9465251327
-76828.0029297,75923171.997070312,8,-49.9628981072
-76683.0444336,75923316.955566406,8,-49.9793020034
-76538.0859375,75923461.9140625,8,-49.9957369385
-76393.1274414,75923606.872558594,8,-50.0122030301
-76248.1689453,75923751.831054688,8,-50.0287003965
-76103.2104492,75923896.789550781,8,-50.0452291569
-75958.2519531,75924041.748046875,8,-50.0617894308
-75813.293457,75924186.706542969,8,-50.0783813387
-75668.3349609,75924331.665039062,8,-50.0950050017
-75523.3764648,75924476.623535156,8,-50.1116605415
-75378.4179688,75924621.58203125,8,-50.1283480807
-75233.4594727,75924766.540527344,8,-50.1450677424
-75088.5009766,75924911.499023438,8,-50.1618196506
-74943.5424805,75925056.457519531,8,-50.1786039298
-74798.5839844,75925201.416015625,8,-50.1954207055
-74653.6254883,75925346.374511719,8,-50.2122701036
-74508.6669922,75925491.333007812,8,-50.229152251
-74363.7084961,75925636.291503906,8,-50.2460672753
-74218.75,75925781.25,8,-50.2630153047
-74073.7915039,75925926.208496094,8,-50.2799964684
-73928.8330078,75926071.166992188,8,-50.2970108961
-73783.8745117,75926216.125488281,8,-50.3140587183
-73638.9160156,75926361.083984375,8,-50.3311400665
-73493.9575195,75926506.042480469,8,-50.3482550728
-73348.9990234,75926651.000976562,8,-50.36540387
