Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_MHz,TwoTapDelaySamples,NormalizedFirRejection_dB
7639927.9855971197,7.639927985597,-68.360072014403,8,-10.1563545227
7675135.0270054014,7.675135027005,-68.324864972995,8,-10.117762102
7710342.0684136832,7.710342068414,-68.289657931586,8,-10.0793587094
7745549.1098219641,7.745549109822,-68.254450890178,8,-10.0411426809
7780756.1512302458,7.780756151230,-68.219243848770,8,-10.0031123749
7815963.1926385276,7.815963192639,-68.184036807361,8,-9.96526617213
7851170.2340468094,7.851170234047,-68.148829765953,8,-9.92760247521
7886377.2754550911,7.886377275455,-68.113622724545,8,-9.89011970822
7921584.3168633729,7.921584316863,-68.078415683137,8,-9.8528163163
7956791.3582716547,7.956791358272,-68.043208641728,8,-9.81569076529
7991998.3996799365,7.991998399680,-68.008001600320,8,-9.77874154141
8027205.4410882182,8.027205441088,-67.972794558912,8,-9.74196715082
8062412.4824964991,8.062412482496,-67.937587517504,8,-9.70536611935
8097619.5239047809,8.097619523905,-67.902380476095,8,-9.66893699209
8132826.5653130626,8.132826565313,-67.867173434687,8,-9.63267833311
8168033.6067213444,8.168033606721,-67.831966393279,8,-9.59658872511
8203240.6481296262,8.203240648130,-67.796759351870,8,-9.56066676909
8238447.689537908,8.238447689538,-67.761552310462,8,-9.52491108405
8273654.7309461897,8.273654730946,-67.726345269054,8,-9.48932030668
8308861.7723544706,8.308861772354,-67.691138227646,8,-9.45389309106
8344068.8137627523,8.344068813763,-67.655931186237,8,-9.41862810836
8379275.8551710341,8.379275855171,-67.620724144829,8,-9.38352404656
8414482.8965793159,8.414482896579,-67.585517103421,8,-9.34857961016
8449689.9379875977,8.449689937988,-67.550310062012,8,-9.31379351994
8484896.9793958794,8.484896979396,-67.515103020604,8,-9.2791645126
8520104.0208041612,8.520104020804,-67.479895979196,8,-9.24469134062
8555311.062212443,8.555311062212,-67.444688937788,8,-9.21037277188
8590518.1036207248,8.590518103621,-67.409481896379,8,-9.1762075895
8625725.1450290065,8.625725145029,-67.374274854971,8,-9.14219459154
8660932.1864372883,8.660932186437,-67.339067813563,8,-9.10833259077
8696139.2278455701,8.696139227846,-67.303860772154,8,-9.07462041443
8731346.26925385,8.731346269254,-67.268653730746,8,-9.04105690399
8766553.3106621318,8.766553310662,-67.233446689338,8,-9.00764091494
8801760.3520704135,8.801760352070,-67.198239647930,8,-8.97437131656
8836967.3934786953,8.836967393479,-67.163032606521,8,-8.94124699167
8872174.4348869771,8.872174434887,-67.127825565113,8,-8.90826683646
8907381.4762952588,8.907381476295,-67.092618523705,8,-8.87542976024
8942588.5177035406,8.942588517704,-67.057411482296,8,-8.84273468527
8977795.5591118224,8.977795559112,-67.022204440888,8,-8.81018054652
9013002.6005201042,9.013002600520,-66.986997399480,8,-8.77776629148
9048209.6419283859,9.048209641928,-66.951790358072,8,-8.74549088
9083416.6833366677,9.083416683337,-66.916583316663,8,-8.71335328406
9118623.7247449495,9.118623724745,-66.881376275255,8,-8.68135248756
9153830.7661532313,9.153830766153,-66.846169233847,8,-8.64948748622
9189037.807561513,9.189037807562,-66.810962192438,8,-8.61775728732
9224244.8489697948,9.224244848970,-66.775755151030,8,-8.58616090955
9259451.8903780766,9.259451890378,-66.740548109622,8,-8.55469738284
9294658.9317863584,9.294658931786,-66.705341068214,8,-8.52336574819
9329865.9731946383,9.329865973195,-66.670134026805,8,-8.49216505751
9365073.01460292,9.365073014603,-66.634926985397,8,-8.46109437342
9400280.0560112018,9.400280056011,-66.599719943989,8,-8.43015276912
9435487.0974194836,9.435487097419,-66.564512902581,8,-8.39933932826
9470694.1388277654,9.470694138828,-66.529305861172,8,-8.3686531447
9505901.1802360471,9.505901180236,-66.494098819764,8,-8.33809332245
9541108.2216443289,9.541108221644,-66.458891778356,8,-8.30765897545
9576315.2630526107,9.576315263053,-66.423684736947,8,-8.27734922748
9611522.3044608925,9.611522304461,-66.388477695539,8,-8.24716321196
9646729.3458691742,9.646729345869,-66.353270654131,8,-8.21710007186
9681936.387277456,9.681936387277,-66.318063612723,8,-8.18715895954
9717143.4286857378,9.717143428686,-66.282856571314,8,-8.15733903659
9752350.4700940195,9.752350470094,-66.247649529906,8,-8.12763947374
9787557.5115023013,9.787557511502,-66.212442488498,8,-8.0980594507
9822764.5529105831,9.822764552911,-66.177235447089,8,-8.06859815604
9857971.594318863,9.857971594319,-66.142028405681,8,-8.03925478706
9893178.6357271448,9.893178635727,-66.106821364273,8,-8.01002854966
9928385.6771354266,9.928385677135,-66.071614322865,8,-7.98091865825
9963592.7185437083,9.963592718544,-66.036407281456,8,-7.95192433558
9998799.7599519901,9.998799759952,-66.001200240048,8,-7.92304481265
10034006.801360272,10.034006801360,-65.965993198640,8,-7.89427932861
10069213.842768554,10.069213842769,-65.930786157231,8,-7.8656271306
10104420.884176835,10.104420884177,-65.895579115823,8,-7.83708747369
10139627.925585117,10.139627925585,-65.860372074415,8,-7.80865962074
10174834.966993399,10.174834966993,-65.825165033007,8,-7.78034284229
10210042.008401681,10.210042008402,-65.789957991598,8,-7.75213641646
10245249.049809963,10.245249049810,-65.754750950190,8,-7.72403962886
10280456.091218244,10.280456091218,-65.719543908782,8,-7.69605177246
10315663.132626526,10.315663132627,-65.684336867373,8,-7.66817214752
10350870.174034808,10.350870174035,-65.649129825965,8,-7.64040006147
10386077.21544309,10.386077215443,-65.613922784557,8,-7.6127348288
10421284.256851371,10.421284256851,-65.578715743149,8,-7.58517577101
10456491.298259651,10.456491298260,-65.543508701740,8,-7.55772221647
