pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(1,3)-(6,8)",81,1.116436947128932,251.34075024511148,15.853729852785793,120161,urad^4
"(2,3)-(7,8)",81,1.116436947128932,244.05344710325434,15.622210058223335,120161,urad^4
"(6,1)-(8,3)",81,1.116436947128932,122.27283302017878,11.057704690403826,120161,urad^4
"(2,2)-(8,8)",81,1.116436947128932,171.76039503277408,13.105739011317679,120161,urad^4
"(1,2)-(7,8)",81,1.116436947128932,178.25013158783977,13.351034850821106,120161,urad^4
"(7,1)-(8,2)",81,1.116436947128932,30.83967497683406,5.553348087130327,120161,urad^4
"(3,1)-(8,6)",81,1.116436947128932,284.4902683921633,16.86683931245458,120161,urad^4
"(3,2)-(8,7)",81,1.116436947128932,284.99654898730023,16.881840805649727,120161,urad^4
"(7,2)-(8,3)",91,1.2542686689967013,29.436208014487082,5.425514539146226,120141,urad^4
"(1,3)-(6,8)",91,1.2542686689967013,229.12034704730675,15.136721806497825,120141,urad^4
"(2,3)-(7,8)",91,1.2542686689967013,222.49761045348765,14.916353792180168,120141,urad^4
"(6,1)-(8,3)",91,1.2542686689967013,111.42844498309505,10.555967268947695,120141,urad^4
"(2,2)-(8,8)",91,1.2542686689967013,156.6991528547371,12.517953221463047,120141,urad^4
"(1,2)-(7,8)",91,1.2542686689967013,162.49668448931965,12.747418738290495,120141,urad^4
"(7,1)-(8,2)",91,1.2542686689967013,28.03772091360722,5.295065713813873,120141,urad^4
"(3,1)-(8,6)",91,1.2542686689967013,259.47632567693046,16.108268860337862,120141,urad^4
"(3,2)-(8,7)",91,1.2542686689967013,259.94493193935983,16.122807818099172,120141,urad^4
"(7,2)-(8,3)",103,1.4196667352380246,26.52622997800613,5.150362121055774,120117,urad^4
"(1,3)-(6,8)",103,1.4196667352380246,206.8667792460041,14.382864083554573,120117,urad^4
"(2,3)-(7,8)",103,1.4196667352380246,200.8856311858938,14.173412827752312,120117,urad^4
"(6,1)-(8,3)",103,1.4196667352380246,100.57708930005796,10.028812955682142,120117,urad^4
"(2,2)-(8,8)",103,1.4196667352380246,141.56403650581413,11.8980686040136,120117,urad^4
